,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,VWAP,OHLC Avg Price,Day_Perc_Change,Trend
72,2019-07-15,2020.99,2021.4,2022.9,2001.55,2980000.0,7,2019,1813.8940242669364,2016.7100000000003,0.005517687447136543,Slight or No change
73,2019-07-12,2011.0,2008.27,2017.0,2003.87,2510000.0,7,2019,1815.9565414599574,2010.035,-0.004943121935289119,Slight or No change
74,2019-07-11,2001.07,2025.62,2035.8,1995.3,4320000.0,7,2019,1819.2314099676482,2014.4475,-0.004937841869716575,Slight or No change
75,2019-07-10,2017.41,1996.51,2024.94,1995.4,4930000.0,7,2019,1823.1532968047527,2008.565,0.008165631387207828,Slight or No change
76,2019-07-09,1988.3,1947.8,1990.01,1943.47,4350000.0,7,2019,1825.9875105535173,1967.395,-0.014429392141409147,Slight or No change
77,2019-07-08,1952.32,1934.12,1956.0,1928.25,2880000.0,7,2019,1827.4068106104935,1942.6725,-0.018095860785595774,Slight or No change
78,2019-07-05,1942.91,1928.6,1945.9,1925.3,2630000.0,7,2019,1828.5797714109199,1935.6775,-0.0048199065726929335,Slight or No change
79,2019-07-03,1939.0,1935.89,1941.59,1930.5,1690000.0,7,2019,1829.295658111789,1936.7450000000001,-0.0020124452496513845,Slight or No change
80,2019-07-02,1934.31,1919.38,1934.79,1906.63,2650000.0,7,2019,1830.3525015190642,1923.7775,-0.0024187725631769075,Slight or No change
81,2019-07-01,1922.19,1922.98,1929.82,1914.66,3200000.0,7,2019,1831.455157961879,1922.4125,-0.006265800207825967,Slight or No change
82,2019-06-28,1893.63,1909.1,1912.94,1884.0,3040000.0,6,2019,1832.156343300193,1899.9175,-0.014858052533828547,Slight or No change
83,2019-06-27,1904.28,1902.0,1911.24,1898.04,2140000.0,6,2019,1832.7244133235185,1903.8899999999999,0.005624118756039964,Slight or No change
84,2019-06-26,1897.83,1892.48,1903.8,1887.32,2440000.0,6,2019,1833.3038896184432,1895.3574999999998,-0.0033871069380553287,Slight or No change
85,2019-06-25,1878.27,1911.84,1916.38,1872.42,3010000.0,6,2019,1833.792246076132,1894.7275,-0.01030650795909005,Slight or No change
86,2019-06-24,1913.9,1912.66,1916.86,1901.3,2280000.0,6,2019,1834.4458826897612,1911.18,0.018969583712671767,Slight or No change
